file,model,epoch,avg_loss,batch_count,accuracy,precision,recall,f1,pairwise_total_pairs,pairwise_P-C,pairwise_P-V,pairwise_P-B,pairwise_P-R,pairwise_P-C_rate
unixcoder.log,microsoft/unixcoder-base,14,0.1884275307835821,1072,0.5195702225633154,0.5170113408939293,0.5947812739831159,0.5531763026409707,276,59,117,66,34,0.213768115942029
unixcoder.log,microsoft/unixcoder-base,15,0.17347644869402987,1072,0.5046047582501919,0.5035377358490566,0.6554105909439755,0.5695231743914638,276,51,140,50,35,0.18478260869565216
unixcoder.log,microsoft/unixcoder-base,16,0.15853442537313434,1072,0.4370683039140445,0.45072115384615385,0.5755947812739831,0.5055611729019212,276,45,125,67,39,0.16304347826086957
unixcoder.log,microsoft/unixcoder-base,17,0.15613751026119405,1072,0.49693016116653876,0.49748743718592964,0.6078280890253261,0.5471502590673575,276,50,121,69,36,0.18115942028985507
unixcoder.log,microsoft/unixcoder-base,18,0.1511559001865672,1072,0.4612432847275518,0.4708597807270629,0.6262471220260937,0.5375494071146245,276,52,134,51,39,0.18840579710144928
unixcoder.log,microsoft/unixcoder-base,19,0.13612857182835822,1072,0.4927091327705295,0.49314079422382673,0.5241749808135073,0.5081845238095238,276,59,95,77,45,0.213768115942029
unixcoder.log,microsoft/unixcoder-base,20,0.14290105223880598,1072,0.5107444359171144,0.5095628415300546,0.5725249424405219,0.5392121431152873,276,61,89,82,44,0.2210144927536232
unixcoder.log,microsoft/unixcoder-base,21,0.1362893628731343,1072,0.48158096699923253,0.4817629179331307,0.48656945510360705,0.4841542573501336,276,57,82,92,45,0.20652173913043478
unixcoder.log,microsoft/unixcoder-base,22,0.1291943479477612,1072,0.49347659247889486,0.4957393483709273,0.7590176515732924,0.5997574287446937,276,41,168,36,31,0.14855072463768115
unixcoder.log,microsoft/unixcoder-base,23,0.12506994496268659,1072,0.4646968534151957,0.4764344262295082,0.7137375287797391,0.5714285714285714,276,42,162,39,33,0.15217391304347827
unixcoder.log,microsoft/unixcoder-base,24,0.11799910074626865,1072,0.4854182655410591,0.49031600407747195,0.7382962394474291,0.5892802450229709,276,46,156,43,31,0.16666666666666666
unixcoder.log,microsoft/unixcoder-base,25,0.11525694776119402,1072,0.5141980046047583,0.5116279069767442,0.624712202609363,0.5625431928127159,276,56,109,69,42,0.2028985507246377
unixcoder.log,microsoft/unixcoder-base,26,0.1166067770522388,1072,0.5314658480429777,0.5232954545454546,0.7068303914044513,0.6013712047012733,276,48,147,48,33,0.17391304347826086
unixcoder.log,microsoft/unixcoder-base,27,0.1078126389925373,1072,0.5191864927091328,0.5142045454545454,0.6945510360706063,0.5909239307868103,276,52,145,46,33,0.18840579710144928
unixcoder.log,microsoft/unixcoder-base,28,0.10504017723880597,1072,0.4915579432079816,0.4942226890756303,0.7221795855717574,0.5868412846897412,276,49,148,41,38,0.17753623188405798
unixcoder.log,microsoft/unixcoder-base,29,0.11505359608208955,1072,0.476592478894858,0.4844467108618052,0.7290867229470452,0.5821078431372549,276,48,153,35,40,0.17391304347826086
unixcoder.log,microsoft/unixcoder-base,30,0.11056310167910448,1072,0.49194167306216424,0.49492998551424433,0.7866462010744436,0.6075874333135743,276,48,167,29,32,0.17391304347826086
unixcoder.log,microsoft/unixcoder-base,31,0.11205778917910449,1072,0.4923254029163469,0.4949647532729104,0.7544128933231006,0.5977500760109455,276,50,157,35,34,0.18115942028985507
unixcoder.log,microsoft/unixcoder-base,32,0.10719922947761194,1072,0.4731389102072141,0.4799081515499426,0.6415963161933999,0.5490968801313629,276,52,114,61,49,0.18840579710144928
unixcoder.log,microsoft/unixcoder-base,33,0.1139068218283582,1072,0.4950115118956255,0.4965184788430637,0.7114351496546432,0.5848580441640379,276,45,135,54,42,0.16304347826086957
unixcoder.log,microsoft/unixcoder-base,34,0.1021500447761194,1072,0.4804297774366846,0.4870360955770208,0.7352264006139677,0.5859327217125382,276,52,150,39,35,0.18840579710144928
